team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,PM,PMPG,BLK,BPG,CMP,CPG,CMPR,TO,TPG
NewYorkEmpire15,16,12,4,0,352,22.0,285,17.81,0.23,-0.19,534,33.38,223,13.94,3793,237.06,91.3,393,24.56
TampaBayCannons15,15,10,5,0,368,24.53,339,22.6,0.31,-0.37,545,36.33,158,10.53,3679,245.27,92.6,348,23.2
AtlantaHustle15,14,10,4,0,353,25.21,308,22.0,0.36,-0.35,584,41.71,201,14.36,3610,257.86,92.8,322,23.0
MontrealRoyal15,15,9,6,0,338,22.53,341,22.73,0.18,-0.37,470,31.33,226,15.07,2848,189.87,89.1,427,28.47
SeattleCascades15,16,9,7,0,395,24.69,355,22.19,0.35,-0.38,625,39.06,200,12.5,3069,191.81,91.4,358,22.38
SanFranciscoFlameThrowers15,15,8,7,0,336,22.4,325,21.67,0.21,-0.34,464,30.93,174,11.6,4113,274.2,92.7,382,25.47
ChicagoWildfire15,15,8,6,1,326,21.73,267,17.8,0.26,-0.21,411,27.4,180,12.0,3807,253.8,93.5,331,22.07
SanDiegoGrowlers15,14,7,7,0,314,22.43,328,23.43,0.23,-0.41,481,34.36,154,11.0,3832,273.71,94.0,301,21.5
OttawaOutlaws15,14,7,7,0,326,23.29,313,22.36,0.26,-0.35,453,32.36,162,11.57,3541,252.93,92.4,360,25.71
IndianapolisAlleyCats15,14,7,7,0,340,24.29,306,21.86,0.33,-0.34,530,37.86,179,12.79,3774,269.57,93.1,329,23.5
DCBreeze15,14,7,7,0,302,21.57,316,22.57,0.13,-0.35,404,28.86,179,12.79,3182,227.29,90.9,377,26.93
MinnesotaWindChill15,14,6,7,1,292,20.86,303,21.64,0.08,-0.27,426,30.43,266,19.0,3743,267.36,91.8,422,30.14
LosAngelesAviators15,14,5,9,0,290,20.71,318,22.71,0.14,-0.43,372,26.57,142,10.14,3647,260.5,92.4,340,24.29
VancouverRiptide15,14,4,10,0,339,24.21,376,26.86,0.25,-0.54,487,34.79,152,10.86,3756,268.29,93.0,343,24.5
CincinnatiRevolution15,14,2,12,0,256,18.29,372,26.57,0.02,-0.65,221,15.79,162,11.57,3986,284.71,91.3,453,32.36
CharlotteExpress15,14,2,12,0,271,19.36,346,24.71,0.07,-0.49,342,24.43,166,11.86,3587,256.21,92.3,363,25.93
NashvilleNightwatch15,14,2,12,0,285,20.36,344,24.57,0.18,-0.59,312,22.29,152,10.86,3991,285.07,92.3,410,29.29
RochesterDragons15,14,1,13,0,255,18.21,371,26.5,-0.04,-0.56,201,14.36,142,10.14,3841,274.36,91.6,451,32.21
PhiladelphiaPhoenix15,14,1,13,0,257,18.36,346,24.71,-0.01,-0.47,251,17.93,150,10.71,2996,214.0,89.8,410,29.29
DetroitMechanix15,14,0,14,0,233,16.64,444,31.71,-0.17,-0.72,110,7.86,135,9.64,3743,267.36,90.1,490,35.0
SanJoseSpiders14,17,16,1,0,475,27.94,340,20.0,0.53,-0.22,797,46.88,228,13.41,3903,229.59,92.1,379,22.29
TorontoRush14,17,15,2,0,449,26.41,302,17.76,0.41,-0.07,782,46.0,275,16.18,4271,251.24,93.4,355,20.88
MadisonRadicals14,16,13,3,0,383,23.94,250,15.63,0.38,-0.07,716,44.75,298,18.63,4012,250.75,93.4,344,21.5
SanFranciscoFlameThrowers14,15,11,4,0,357,23.8,295,19.67,0.28,-0.22,479,31.93,202,13.47,3342,222.8,90.5,427,28.47
NewYorkEmpire14,16,11,5,0,357,22.31,281,17.56,0.28,-0.18,559,34.94,239,14.94,3902,243.88,91.7,394,24.63
DCBreeze14,15,10,5,0,347,23.13,344,22.93,0.2,-0.33,492,32.8,177,11.8,3743,249.53,92.3,372,24.8
IndianapolisAlleyCats14,15,9,6,0,328,21.87,324,21.6,0.24,-0.42,432,28.8,179,11.93,3517,234.47,92.5,364,24.27
ChicagoWildfire14,15,9,6,0,324,21.6,265,17.67,0.38,-0.29,473,31.53,193,12.87,3661,244.07,93.0,348,23.2
MinnesotaWindChill14,14,8,6,0,341,24.36,302,21.57,0.28,-0.32,631,45.07,243,17.36,4130,295.0,95.4,294,21.0
VancouverRiptide14,14,8,6,0,357,25.5,316,22.57,0.18,-0.19,542,38.71,212,15.14,2965,211.79,90.4,383,27.36
MontrealRoyal14,14,6,8,0,296,21.14,304,21.71,0.1,-0.31,415,29.64,160,11.43,3299,235.64,92.0,337,24.07
CincinnatiRevolution14,14,4,10,0,258,18.43,332,23.71,0.03,-0.53,295,21.07,154,11.0,2779,198.5,90.1,368,26.29
